contrast,backbone,dataset,axis,seed,adapter_run_id,reference_run_id,metric,adapter_value,reference_value,effect_adapter_minus_reference
delta_full,CBraMod,tuev,channel_patch,1024,tuev_cbramod_full_channel_patch_s1024_r64_lr1e-4_b8_e20,tuev_cbramod_dense_s1024_lr1e-4_b8_e20,macro_f1,0.52741703,0.60155722,-0.07414019
delta_full,CBraMod,tuev,channel_patch,3407,tuev_cbramod_full_channel_patch_s3407_r64_lr1e-4_b8_e20,tuev_cbramod_dense_s3407_lr1e-4_b8_e20,balanced_accuracy,0.64997411,0.59672284,0.05325127
delta_full,CBraMod,tuev,channel_patch,3407,tuev_cbramod_full_channel_patch_s3407_r64_lr1e-4_b8_e20,tuev_cbramod_dense_s3407_lr1e-4_b8_e20,macro_f1,0.63929933,0.56709860,0.07220073
delta_full,CBraMod,tuev,channel_patch,42,tuev_cbramod_full_channel_patch_s42_r64_lr1e-4_b8_e20,tuev_cbramod_dense_s42_lr1e-4_b8_e20,balanced_accuracy,0.62314490,0.61878513,0.00435977
delta_full,CBraMod,tuev,channel_patch,42,tuev_cbramod_full_channel_patch_s42_r64_lr1e-4_b8_e20,tuev_cbramod_dense_s42_lr1e-4_b8_e20,macro_f1,0.60441324,0.52771507,0.07669818
delta_full,LaBraM,TUEV,channel_patch,1024,tuev_labram_native_channel_patch_lr5e-4_s1024_b64_e15_scale100,tuev_labram_full_dense_lr5e-4_s1024_b64_e15_scale100,balanced_accuracy,0.58190945,0.60010182,-0.01819237
delta_full,LaBraM,TUEV,channel_patch,1024,tuev_labram_native_channel_patch_lr5e-4_s1024_b64_e15_scale100,tuev_labram_full_dense_lr5e-4_s1024_b64_e15_scale100,macro_f1,0.48849570,0.55640442,-0.06790872
delta_full,LaBraM,TUEV,channel_patch,3407,tuev_labram_native_channel_patch_lr5e-4_s3407_b64_e15_scale100,tuev_labram_full_dense_lr5e-4_s3407_b64_e15_scale100,balanced_accuracy,0.60677597,0.58211610,0.02465987
delta_full,LaBraM,TUEV,channel_patch,3407,tuev_labram_native_channel_patch_lr5e-4_s3407_b64_e15_scale100,tuev_labram_full_dense_lr5e-4_s3407_b64_e15_scale100,macro_f1,0.55232769,0.53902548,0.01330221
delta_full,LaBraM,TUEV,channel_patch,42,tuev_labram_native_channel_patch_zeroout_lr5e-4_s42_b64_e15_scale100,tuev_labram_dense_reg_wd10dp20sm20_s42_b64_e25_scale100,balanced_accuracy,0.56228136,0.57733190,-0.01505053
delta_full,LaBraM,TUEV,channel_patch,42,tuev_labram_native_channel_patch_zeroout_lr5e-4_s42_b64_e15_scale100,tuev_labram_dense_reg_wd10dp20sm20_s42_b64_e25_scale100,macro_f1,0.45762722,0.54757875,-0.08995153
