backbone,dataset,method,variant,n,seeds,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd,cohen_kappa_mean,cohen_kappa_sd,weighted_f1_mean,weighted_f1_sd,trainable_parameters_mean,trainable_parameters_sd,trainable_parameter_fraction_mean,trainable_parameter_fraction_sd,peak_gpu_memory_bytes_mean,peak_gpu_memory_bytes_sd,training_wall_seconds_mean,training_wall_seconds_sd,analysis_roles
LaBraM,FACED,upper2,upper,3,"42,1024,3407",0.29687780,0.00108466,0.29659600,0.00161812,0.20809922,0.00124482,0.29663311,0.00152334,967169.00000000,0.00000000,0.16613043,0.00000000,,,,,RQ3
LaBraM,PhysioNet-MI,dense,none,3,"42,1024,3407",0.60931609,0.01471891,0.61031570,0.01536521,0.47909480,0.01957098,0.61028537,0.01535407,5820740.00000000,0.00000000,1.00000000,0.00000000,,,,,BOUNDARY;RQ3
LaBraM,PhysioNet-MI,frozen_native_channel_patch,channel_patch,3,"42,1024,3407",0.28325862,0.00521348,0.26702436,0.00956175,0.04444440,0.00693960,0.26723916,0.00952644,86614.00000000,0.00000000,0.01466406,0.00000000,,,,,BOUNDARY;RQ1
LaBraM,PhysioNet-MI,frozen_native_generic,generic,3,"42,1024,3407",0.26989912,0.00138379,0.25776509,0.00085262,0.02664511,0.00185229,0.25797250,0.00085871,27069.00000000,0.00000000,0.00462955,0.00000000,,,,,CONTEXT
LaBraM,PhysioNet-MI,frozen_probe,none,3,"42,1024,3407",0.26938286,0.00053337,0.26164998,0.00495882,0.02590330,0.00072232,0.26176804,0.00492145,804.00000000,0.00000000,0.00013813,0.00000000,,,,,BOUNDARY;RQ1
LaBraM,PhysioNet-MI,lora,qkv,3,"42,1024,3407",0.54352817,0.02510123,0.54376819,0.02671428,0.39132022,0.03346812,0.54370516,0.02672090,77604.00000000,0.00000000,0.01315871,0.00000000,,,,,CONTEXT
LaBraM,PhysioNet-MI,native_channel_patch,channel_patch,3,"42,1024,3407",0.62526172,0.00817377,0.62676183,0.00935438,0.50015663,0.01087528,0.62668410,0.00931968,5906550.00000000,0.00000000,1.00000000,0.00000000,,,,,RQ3
LaBraM,PhysioNet-MI,upper2,upper,3,"42,1024,3407",0.51555996,0.02018762,0.51453223,0.02095167,0.35395166,0.02694526,0.51445168,0.02096238,966164.00000000,0.00000000,0.16598646,0.00000000,,,,,BOUNDARY;RQ3
LaBraM,SEED-V,dense,none,3,"42,1024,3407",0.40673040,0.00488938,0.40375004,0.00502501,0.25859942,0.00822136,0.41045885,0.00644953,5820941.00000000,0.00000000,1.00000000,0.00000000,,,,,BOUNDARY;RQ3
LaBraM,SEED-V,lora,qkv,3,"42,1024,3407",0.28564780,0.00365838,0.27004724,0.00682027,0.10796143,0.00526319,0.27869630,0.00711793,77805.00000000,0.00000000,0.01319234,0.00000000,,,,,CONTEXT
LaBraM,SEED-V,upper2,upper,3,"42,1024,3407",0.38586275,0.00412676,0.38609477,0.00528056,0.23444363,0.00542549,0.39373706,0.00525952,966365.00000000,0.00000000,0.16601525,0.00000000,,,,,BOUNDARY;RQ3
LaBraM,TUEV,axis_blind,generic_token_control,3,"42,1024,3407",0.43074159,0.00095462,0.43290874,0.00096285,0.52690104,0.00149499,0.75226975,0.00084247,87220.00000000,0.00000000,0.01476514,0.00000000,,,,,RQ2
LaBraM,TUEV,dense,none,3,"42,1024,3407",0.58651660,0.01200586,0.54766955,0.00868983,0.61255208,0.01467319,0.79668375,0.00809737,5821142.00000000,0.00000000,1.00000000,0.00000000,,,,,RQ3
LaBraM,TUEV,frozen_native_channel_patch,channel_patch,3,"42,1024,3407",0.39160912,0.01824372,0.36762519,0.02596278,0.46124602,0.04709692,0.71314043,0.02584921,87016.00000000,0.00000000,0.01473112,0.00000000,,,,,RQ1;RQ2
LaBraM,TUEV,frozen_native_generic,generic,3,"42,1024,3407",0.43665458,0.01259126,0.43242354,0.01190013,0.51517335,0.01352567,0.74573754,0.00675941,27471.00000000,0.00000000,0.00469798,0.00000000,,,,,CONTEXT
LaBraM,TUEV,frozen_probe,none,3,"42,1024,3407",0.36578637,0.00000000,0.34832983,0.00000000,0.44681522,0.00000000,0.70842368,0.00000000,1206.00000000,0.00000000,0.00020718,0.00000000,,,,,RQ1
LaBraM,TUEV,lora,qkv,3,"42,1024,3407",0.57166975,0.02294997,0.54042686,0.00423843,0.58128962,0.01833078,0.78278926,0.00728722,78006.00000000,0.00000000,0.01322597,0.00000000,,,,,CONTEXT
LaBraM,TUEV,native_channel_patch,channel_patch,3,"42,1024,3407",0.58365559,0.02229864,0.49948353,0.04829694,0.53097625,0.02887960,0.74949909,0.01605545,5906952.00000000,0.00000000,1.00000000,0.00000000,,,,,RQ3
LaBraM,TUEV,upper2,upper,3,"42,1024,3407",0.54124421,0.02035941,0.52518890,0.01658031,0.56378294,0.04229921,0.77287810,0.01975271,966566.00000000,0.00000000,0.16604405,0.00000000,,,,,RQ3
