backbone,dataset,method,axis,source_package,n,seeds,complete_three_seed,all_contract_valid,configuration_homogeneous,manuscript_role,balanced_accuracy_mean,balanced_accuracy_sd,cohen_kappa_mean,cohen_kappa_sd,macro_f1_mean,macro_f1_sd,weighted_f1_mean,weighted_f1_sd,trainable_parameters_mean,selected_epoch_mean,source_artifacts,metric_complement_source,audit_note
CBraMod,FACED,native_full_finetune,patch,registry_aggregate,3,"42,1024,3407",True,True,True,supporting_or_boundary,0.5667382358203614,0.0061235360564632,0.5102350406949319,0.00639142928276,0.5761222623479515,0.0055454291472005,0.5718766172842602,0.0051659963354559,133317614.0,26.33333333333333,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_native_full_patch_s1024_lr1e-4_b64_e50|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_native_full_patch_s3407_lr1e-4_b64_e50|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_native_full_patch_s42_lr1e-4_b64_e50,registry aggregate,canonical registry group
CBraMod,FACED,upper_k_finetune,none,registry_aggregate,3,"42,1024,3407",True,True,True,supporting_or_boundary,0.4034711039541957,0.0046665955826605,0.3263519,0.0060577,0.40363996,0.00503194,0.4017976658650105,0.0055884772596614,129209209.0,34.666666666666664,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_upper2_s1024_20260804|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_upper2_s3407_20260804|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_upper2_s42_20260804,manuscript_final_v2 method_summary,canonical registry group
CBraMod,ISRUC,axis_blind,generic_token_control,registry_aggregate,3,"42,1024,3407",True,True,True,primary_RQ2_candidate,0.7473285854439856,0.0119425027007412,0.70264033,0.0149942,0.74311472,0.01688725,0.7679606661401417,0.0145075015152482,21647410.0,14.0,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_alpha0_axisblind_s1024|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_alpha0_axisblind_s3407|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_alpha0_axisblind_s42,manuscript_final_v2 method_summary,canonical registry group
CBraMod,ISRUC,frozen_probe,none,registry_aggregate,3,"42,1024,3407",True,True,True,supporting_or_boundary,0.7562040134891609,0.0032567188564978,0.71119704,0.00994481,0.7516456,0.00548107,0.7750524205277783,0.0091585327118096,21587461.0,15.333333333333334,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_frozen_probe_s1024_lr2e-4_b8_e20|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_frozen_probe_s3407_lr2e-4_b8_e20|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_frozen_probe_s42_lr2e-4_b8_e20,manuscript_final_v2 method_summary,canonical registry group
CBraMod,ISRUC,full_finetune,none,registry_aggregate,3,"42,1024,3407",True,True,False,supporting_or_boundary,0.7810202529376736,0.0104878855634447,0.7405753774236393,0.0116344819923885,0.7779849038976447,0.0098648414210115,0.8008950400997719,0.0082306009679776,26471261.0,7.666666666666667,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_dense_s1024_lr2e-4_b8_e20|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_dense_s3407_lr2e-4_b8_e20|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_dense_s42_lr5e-5_b8_e20,registry aggregate,incomplete or legacy/non-homogeneous group
CBraMod,ISRUC,generic_bottleneck,none,registry_aggregate,3,"42,1024,3407",True,True,False,supporting_or_boundary,0.7453075983774077,0.0063424402065028,0.7029874853013178,0.0074107092795173,0.7420946682455406,0.003854559443179,0.7676256111282018,0.0041927386688367,21613726.0,14.666666666666666,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_alpha0_frozen_generic_r64_s1024|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_alpha0_frozen_generic_r64_s3407|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_frozen_generic_s42_lr2e-4_b8_e20,registry aggregate,incomplete or legacy/non-homogeneous group
CBraMod,ISRUC,interaction_aligned,channel,registry_aggregate,3,"42,1024,3407",True,True,False,supporting_or_boundary,0.7480842224322377,0.0041082930497341,0.7007649683698792,0.0088236464095895,0.737630005945412,0.0113731416172355,0.763004634996644,0.0099743270618983,21604700.666666668,11.666666666666666,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_alpha0_frozen_channel_r32_s1024|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_alpha0_frozen_channel_r32_s3407|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_frozen_channel_s42_lr2e-4_b8_e20,registry aggregate,incomplete or legacy/non-homogeneous group
CBraMod,ISRUC,interaction_aligned,channel_patch,registry_aggregate,3,"42,1024,3407",True,True,True,primary_RQ2_candidate,0.7518881352346255,0.0064805114096719,0.7070294,0.00987255,0.74847116,0.00842348,0.7715507408569685,0.007786651696003,21647071.0,13.333333333333334,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_frozen_channel_patch_s1024_r64_lr2e-4_b8_e20|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_frozen_channel_patch_s3407_r64_lr2e-4_b8_e20|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_frozen_channel_patch_s42_lr2e-4_b8_e20,manuscript_final_v2 method_summary,canonical registry group
CBraMod,ISRUC,interaction_aligned,patch,registry_aggregate,3,"42,1024,3407",True,True,False,supporting_or_boundary,0.7484250677489114,0.0048563464318787,0.7033360303592718,0.0086395265196983,0.7415143953150146,0.0150158065017344,0.7667403440350113,0.0108632599049231,21604700.666666668,12.666666666666666,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_alpha0_frozen_patch_r32_s1024|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_alpha0_frozen_patch_r32_s3407|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_frozen_patch_s42_lr2e-4_b8_e20,registry aggregate,incomplete or legacy/non-homogeneous group
CBraMod,ISRUC,lora,none,registry_aggregate,3,"42,1024,3407",True,True,False,supporting_or_boundary,0.7513696190917086,0.0045375073617563,0.7096292881254959,0.0084508950427334,0.74660064500332,0.0070344493221067,0.7734788536143595,0.0063319723074931,21664261.0,12.666666666666666,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_lora_qkv_r8_s1024_lr2e-4_b8_e20|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_lora_qkv_r8_s3407_lr2e-4_b8_e20|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_lora_qkv_r8_s42_lr2e-4_b8_e20,registry aggregate,incomplete or legacy/non-homogeneous group
