backbone,dataset,artifact_name,artifact_dir,registry_member,registry_contract_valid,classification,complete_test_contract,audit_or_smoke_name,operator_audit_name,method,axis,seed,selected_epoch,balanced_accuracy,cohen_kappa,macro_f1,weighted_f1,macro_f1_reconstructed,metric_source,config_present,local_log_present,checkpoint_best_present,summary_present,final_test_present
CBraMod,FACED,faced_evalmode_frozen_upper2_s42_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_upper2_s42_20260804,True,True,registry_complete,True,False,False,upper_k_finetune,none,42.0,41.0,0.4087493290391841,0.3330832708177044,0.4090537794941171,0.40780720379303953,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_frozen_probe_s1024_lr1e-4_b64_e50,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_frozen_probe_s1024_lr1e-4_b64_e50,True,True,registry_complete,True,False,False,frozen_probe,none,1024.0,10.0,0.25402576489533013,0.15859378242643096,0.22480169837486189,0.22464852416550327,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_frozen_probe_s3407_lr1e-4_b64_e50,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_frozen_probe_s3407_lr1e-4_b64_e50,True,True,registry_complete,True,False,False,frozen_probe,none,3407.0,29.0,0.25214707461084274,0.15768479660946533,0.21090379702594522,0.21258289541916858,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_frozen_probe_s42_lr1e-4_b64_e50,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_frozen_probe_s42_lr1e-4_b64_e50,True,True,registry_complete,True,False,False,frozen_probe,none,42.0,14.0,0.25966183574879226,0.16698544698544693,0.21397882029985438,0.21669086123152226,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_frozen_probe_seed42_smoke_20260731,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_frozen_probe_seed42_smoke_20260731,False,,audit_or_smoke,False,True,False,frozen_probe,none,42.0,,,,,,False,CBraMod/test_metrics.json,True,False,False,False,False
CBraMod,FACED,faced_frozen_probe_seed42_smoke_20260731_final,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_frozen_probe_seed42_smoke_20260731_final,False,,audit_or_smoke,False,True,False,frozen_probe,none,42.0,,,,,,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_frozen_probe_seed42_smoke_20260731_rerun,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_frozen_probe_seed42_smoke_20260731_rerun,False,,audit_or_smoke,False,True,False,frozen_probe,none,42.0,,,,,,False,CBraMod/test_metrics.json,True,False,False,False,False
CBraMod,FACED,faced_generic_bottleneck_s1024_lr1e-4_b64_e50,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_generic_bottleneck_s1024_lr1e-4_b64_e50,True,True,registry_complete,True,False,False,generic_bottleneck,none,1024.0,46.0,0.3841921631776704,0.30392054800224855,0.3844928014277529,0.3823827490393368,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_generic_bottleneck_s3407_lr1e-4_b64_e50,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_generic_bottleneck_s3407_lr1e-4_b64_e50,True,True,registry_complete,True,False,False,generic_bottleneck,none,3407.0,42.0,0.4129092860976919,0.33751641616810146,0.4174248160256317,0.4156218636232995,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_generic_bottleneck_s42_lr1e-4_b64_e50,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_generic_bottleneck_s42_lr1e-4_b64_e50,True,True,registry_complete,True,False,False,generic_bottleneck,none,42.0,38.0,0.42592592592592593,0.35087353542092314,0.4300334903408032,0.4270873293860087,False,CBraMod/test_metrics.json,True,False,False,True,False
