backbone,dataset,run_id,artifact_dir,method,axis,seed,candidate,candidate_score,contract_valid,status,selected_epoch,val_selection_value,balanced_accuracy,cohen_kappa,macro_f1,weighted_f1,trainable_parameters,adapter_delta_ratio,backbone_update_norm,source
CBraMod,faced,faced_evalmode_frozen_upper2_s3407_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_upper2_s3407_20260804,upper_k_finetune,none,3407,True,102,True,completed,17,0.3998705377478363,0.39989264626945786,0.32133933033483253,0.3991059502450864,0.39675692821252384,129209209,,0.0,summary.json + test_metrics.json
CBraMod,faced,faced_evalmode_frozen_axis_blind_s3407_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_axis_blind_s3407_20260804,axis_blind,generic_token_control,3407,True,102,True,completed,34,0.3801060180854381,0.3913043478260869,0.31424045356011343,0.38906197842338075,0.38850024109873615,128463958,,0.0,summary.json + test_metrics.json
CBraMod,isruc,isruc_cbramod_dense_s42_lr5e-5_b8_e20,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_dense_s42_lr5e-5_b8_e20,full_finetune,none,42,True,102,True,completed,15,0.7317636443862843,0.7744223119560828,0.7341284026124207,0.7715597560329264,0.7956283066473264,26471261,,0.034643176943063736,summary.json + test_metrics.json
CBraMod,isruc,isruc_cbramod_upper2_s42_lr2e-4_b8_e20,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_upper2_s42_lr2e-4_b8_e20,upper_k_finetune,none,42,True,102,True,completed,6,0.7398820368942991,0.7758898107736814,0.7495102855404923,0.7730561327112506,0.8021801735659505,22392661,,0.0,summary.json + test_metrics.json
CBraMod,isruc,isruc_cbramod_frozen_probe_s42_lr2e-4_b8_e20,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_frozen_probe_s42_lr2e-4_b8_e20,frozen_probe,none,42,True,102,True,completed,16,0.7246305812739118,0.7542625984571867,0.7041219340097529,0.7465727382575784,0.767764261252889,21587461,,0.0,summary.json + test_metrics.json
CBraMod,isruc,isruc_cbramod_frozen_channel_s42_lr2e-4_b8_e20,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_frozen_channel_s42_lr2e-4_b8_e20,interaction_aligned,channel,42,True,102,True,completed,9,0.7221371773715987,0.7433502181558147,0.6930913158934278,0.7248673706374896,0.7527917529488668,21617266,0.12096795439720154,0.0,summary.json + test_metrics.json
CBraMod,isruc,isruc_cbramod_axisblind_s42_lr2e-4_b8_e20,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_axisblind_s42_lr2e-4_b8_e20,axis_blind,generic_token_control,42,True,102,True,completed,9,0.7222968447587717,0.7546861099347553,0.7135281478522446,0.750640002005781,0.7764788577739145,21647410,,0.0,summary.json + test_metrics.json
CBraMod,isruc,isruc_cbramod_frozen_patch_s42_lr2e-4_b8_e20,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_frozen_patch_s42_lr2e-4_b8_e20,interaction_aligned,patch,42,True,102,True,completed,9,0.7374509115512764,0.7428491008591609,0.693361020362675,0.7241756357304281,0.7542565916279415,21617266,0.07489670813083649,0.0,summary.json + test_metrics.json
CBraMod,isruc,isruc_cbramod_native_full_channel_s42_lr2e-4_b8_e20,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_native_full_channel_s42_lr2e-4_b8_e20,native_full_finetune,channel,42,True,102,True,completed,8,0.74150132324183,0.774252945847443,0.7421730382496129,0.7739773821663986,0.7995611759492017,26501066,4.714798342320137e-05,0.04260611906647682,summary.json + test_metrics.json
CBraMod,isruc,isruc_cbramod_frozen_channel_patch_s42_lr2e-4_b8_e20,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_frozen_channel_patch_s42_lr2e-4_b8_e20,interaction_aligned,channel_patch,42,True,102,True,completed,9,0.736504515851614,0.7541019622189131,0.7119569714407924,0.7471509189075352,0.7732663754247068,21647071,0.1896972954273224,0.0,summary.json + test_metrics.json
