comparison,backbone,dataset,axis,seed,left_method,right_method,metric,left_value,right_value,effect_left_minus_right,left_better,parameter_match_pct,pair_validity,pair_contract_valid,pair_artifacts_verified,pair_invalid_reason,left_artifact,right_artifact,scope_note
aligned_vs_axis_blind,CBraMod,faced,channel_patch,3407,interaction_aligned,axis_blind,weighted_f1,0.3881569328609679,0.38850024109873615,-0.00034330823776823616,0,0.0002638872453237039,PAIR_ARTIFACT_UNVERIFIED,True,False,full configuration-level nuisance matching not yet manually confirmed,faced_evalmode_frozen_channel_patch_s3407_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s3407_20260804,
aligned_vs_axis_blind,CBraMod,isruc,channel,42,interaction_aligned,axis_blind,balanced_accuracy,0.7433502181558147,0.7546861099347553,-0.011335891778940566,0,0.13924991488589167,PAIR_ARTIFACT_UNVERIFIED,True,False,full configuration-level nuisance matching not yet manually confirmed,isruc_cbramod_frozen_channel_s42_lr2e-4_b8_e20,isruc_cbramod_axisblind_s42_lr2e-4_b8_e20,
aligned_vs_axis_blind,CBraMod,isruc,channel,42,interaction_aligned,axis_blind,cohen_kappa,0.6930913158934278,0.7135281478522446,-0.020436831958816848,0,0.13924991488589167,PAIR_ARTIFACT_UNVERIFIED,True,False,full configuration-level nuisance matching not yet manually confirmed,isruc_cbramod_frozen_channel_s42_lr2e-4_b8_e20,isruc_cbramod_axisblind_s42_lr2e-4_b8_e20,
aligned_vs_axis_blind,CBraMod,isruc,channel,42,interaction_aligned,axis_blind,macro_f1,0.7248673706374896,0.750640002005781,-0.025772631368291332,0,0.13924991488589167,PAIR_ARTIFACT_UNVERIFIED,True,False,full configuration-level nuisance matching not yet manually confirmed,isruc_cbramod_frozen_channel_s42_lr2e-4_b8_e20,isruc_cbramod_axisblind_s42_lr2e-4_b8_e20,
aligned_vs_axis_blind,CBraMod,isruc,channel,42,interaction_aligned,axis_blind,weighted_f1,0.7527917529488668,0.7764788577739145,-0.023687104825047656,0,0.13924991488589167,PAIR_ARTIFACT_UNVERIFIED,True,False,full configuration-level nuisance matching not yet manually confirmed,isruc_cbramod_frozen_channel_s42_lr2e-4_b8_e20,isruc_cbramod_axisblind_s42_lr2e-4_b8_e20,
aligned_vs_axis_blind,CBraMod,isruc,patch,42,interaction_aligned,axis_blind,balanced_accuracy,0.7428491008591609,0.7546861099347553,-0.011837009075594374,0,0.13924991488589167,PAIR_ARTIFACT_UNVERIFIED,True,False,full configuration-level nuisance matching not yet manually confirmed,isruc_cbramod_frozen_patch_s42_lr2e-4_b8_e20,isruc_cbramod_axisblind_s42_lr2e-4_b8_e20,
aligned_vs_axis_blind,CBraMod,isruc,patch,42,interaction_aligned,axis_blind,cohen_kappa,0.693361020362675,0.7135281478522446,-0.020167127489569614,0,0.13924991488589167,PAIR_ARTIFACT_UNVERIFIED,True,False,full configuration-level nuisance matching not yet manually confirmed,isruc_cbramod_frozen_patch_s42_lr2e-4_b8_e20,isruc_cbramod_axisblind_s42_lr2e-4_b8_e20,
aligned_vs_axis_blind,CBraMod,isruc,patch,42,interaction_aligned,axis_blind,macro_f1,0.7241756357304281,0.750640002005781,-0.02646436627535287,0,0.13924991488589167,PAIR_ARTIFACT_UNVERIFIED,True,False,full configuration-level nuisance matching not yet manually confirmed,isruc_cbramod_frozen_patch_s42_lr2e-4_b8_e20,isruc_cbramod_axisblind_s42_lr2e-4_b8_e20,
aligned_vs_axis_blind,CBraMod,isruc,patch,42,interaction_aligned,axis_blind,weighted_f1,0.7542565916279415,0.7764788577739145,-0.022222266145973002,0,0.13924991488589167,PAIR_ARTIFACT_UNVERIFIED,True,False,full configuration-level nuisance matching not yet manually confirmed,isruc_cbramod_frozen_patch_s42_lr2e-4_b8_e20,isruc_cbramod_axisblind_s42_lr2e-4_b8_e20,
aligned_vs_axis_blind,CBraMod,isruc,channel_patch,42,interaction_aligned,axis_blind,balanced_accuracy,0.7541019622189131,0.7546861099347553,-0.0005841477158421426,0,0.0015660072036331367,PAIR_ARTIFACT_UNVERIFIED,True,False,full configuration-level nuisance matching not yet manually confirmed,isruc_cbramod_frozen_channel_patch_s42_lr2e-4_b8_e20,isruc_cbramod_axisblind_s42_lr2e-4_b8_e20,
