backbone,dataset,method,axis,n,seeds,balanced_accuracy_mean,balanced_accuracy_sd,cohen_kappa_mean,cohen_kappa_sd,macro_f1_mean,macro_f1_sd,weighted_f1_mean,weighted_f1_sd,trainable_parameters_mean,trainable_parameters_sd,selected_epoch_mean,selected_epoch_sd
CBraMod,isruc,native_full_finetune,channel,3,"42,1024,3407",0.7809486946588508,0.005829871354848851,0.7431639855009023,0.000988936490424587,0.7793397804768556,0.004685200795194689,0.8016910859306213,0.002031740987332544,26501066.0,0.0,9.0,4.58257569495584
CBraMod,isruc,native_full_finetune,channel_patch,3,"42,1024,3407",0.7829149127993298,0.011773398381809018,0.7441967431974007,0.012475819493718364,0.7781834315118614,0.0154565077708047,0.8009742113180369,0.01291308848190661,26530871.0,0.0,11.333333333333334,7.767453465154029
CBraMod,isruc,native_full_finetune,patch,3,"42,1024,3407",0.7701257716904866,0.004446925449948906,0.7354475003671503,0.007507632129415652,0.7677044620973825,0.005435811421230704,0.7923869111005788,0.006397341611704105,26501066.0,0.0,7.0,2.6457513110645907
CBraMod,isruc,upper_k_finetune,none,3,"42,1024,3407",0.7773589789158524,0.0016301095507792354,0.7405109158643871,0.008964640760406801,0.7724919533805691,0.00279998177371847,0.7972003305041926,0.007134630554646139,22392661.0,0.0,7.0,1.7320508075688772
CBraMod,physionet_mi,axis_blind,generic_token_control,3,"42,1024,3407",0.5393752342987977,0.004088988715739184,0.3857638880949554,0.005501782775120139,0.5423753334205476,0.006564197534407305,0.5423483866964891,0.006572517608274641,41181753.0,0.0,4.666666666666667,1.5275252316519468
CBraMod,physionet_mi,frozen_probe,none,3,"42,1024,3407",0.5434788746183763,0.003641286952674422,0.39120966026373494,0.0049001220179600595,0.5454724115369286,0.0038083787104693703,0.5454409760921585,0.00383118212474694,41121804.0,0.0,8.666666666666666,2.8867513459481287
CBraMod,physionet_mi,full_finetune,none,3,"42,1024,3407",0.6227507354048738,0.004228106350235006,0.4969199207830095,0.005610638641063079,0.6237671183411168,0.004143212502629929,0.6237423686623186,0.0041364838547989944,46005604.0,0.0,16.0,1.0
CBraMod,physionet_mi,generic_bottleneck,none,3,"42,1024,3407",0.5507952400999209,0.010367965178624998,0.4010127189960499,0.013833490962529,0.5526669547559613,0.009158881947497683,0.5526360204772569,0.009154649511151346,41148069.0,0.0,4.666666666666667,3.0550504633038935
CBraMod,physionet_mi,interaction_aligned,channel,3,"42,1024,3407",0.5449240657411689,0.008974487944910663,0.39315367304036325,0.011960148864383475,0.5465063067579387,0.007026950800173427,0.5464674544695074,0.007007728664663479,41151609.0,0.0,6.666666666666667,4.509249752822894
CBraMod,physionet_mi,interaction_aligned,channel_patch,3,"42,1024,3407",0.5465450905008633,0.009013290768781164,0.395346394090354,0.01202038465702082,0.5490488758271901,0.009177468440604894,0.5490230556611176,0.009178911668674825,41156283.333333336,21763.795747372133,11.666666666666666,6.6583281184793925
CBraMod,physionet_mi,interaction_aligned,patch,3,"42,1024,3407",0.5419430152002023,0.01881762460120347,0.38920195778797545,0.025099648956647423,0.5416480584626266,0.018885586367043225,0.5416159641175163,0.018874974946958,41151609.0,0.0,3.0,1.7320508075688772
CBraMod,physionet_mi,lora,none,3,"42,1024,3407",0.5493360954990039,0.00427660549931736,0.39906323513520364,0.005678661494237037,0.551625665634248,0.004679699975184603,0.5516113622299051,0.004681083491969757,41198604.0,0.0,10.666666666666666,4.725815626252609
CBraMod,physionet_mi,native_full_finetune,channel,3,"42,1024,3407",0.621442116951778,0.009140660914122987,0.49518579778825833,0.012205269885390394,0.6224970058021437,0.008543154149387663,0.6224702137018255,0.008559930542422016,46035409.0,0.0,18.333333333333332,7.094598884597588
CBraMod,physionet_mi,native_full_finetune,channel_patch,3,"42,1024,3407",0.6246152782474277,0.0014546897138292849,0.4993842215001137,0.0019449263613895609,0.6250826362847725,0.001722752488868076,0.6250410751908922,0.001713131861977216,46065214.0,0.0,16.666666666666668,2.516611478423583
CBraMod,physionet_mi,native_full_finetune,patch,3,"42,1024,3407",0.62625046196899,0.0031067889026856754,0.501590275864183,0.0041240621479088245,0.6274052924247545,0.003133390265476817,0.6273700187828656,0.0031269081388927995,46035409.0,0.0,24.0,8.54400374531753
CBraMod,physionet_mi,upper_k_finetune,none,3,"42,1024,3407",0.5984789863326366,0.007821462890005342,0.4645934620022232,0.010462157116258655,0.6000293134815966,0.009294116255940907,0.5999970511374826,0.009296328790340012,41927004.0,0.0,8.666666666666666,11.547005383792515
CBraMod,seedv,axis_blind,generic_token_control,3,"42,1024,3407",0.3005707474248119,0.008053847067473087,0.12316850003771895,0.010785557571688965,0.29931699668565104,0.010535063511352204,0.30397213636497084,0.0105776777783506,10141954.0,0.0,11.666666666666666,11.547005383792515
CBraMod,seedv,frozen_probe,none,3,"42,1024,3407",0.29868527481993706,0.0011518018654193768,0.12092870057449227,0.001717901818789568,0.2930846438488959,0.004926853541883948,0.29850949504081004,0.0032290751289398853,10082005.0,0.0,13.666666666666666,4.041451884327381
CBraMod,seedv,full_finetune,none,3,"42,1024,3407",0.3876198148911928,0.011498387776681974,0.240803974867807,0.01600747629135879,0.38612209698752187,0.013629105826512822,0.3963813243057734,0.01418700522829357,14965805.0,0.0,15.0,13.0
CBraMod,seedv,generic_bottleneck,none,3,"42,1024,3407",0.29384173878158426,0.0008062965127148146,0.11338612820154315,0.0018807895866726134,0.29142468221386675,0.0030363228705726874,0.2944019657704686,0.004262593799619356,10108270.0,0.0,8.0,5.196152422706632
CBraMod,seedv,interaction_aligned,channel,3,"42,1024,3407",0.29182798112852887,0.004014959162933413,0.11267003316810564,0.005076983344268272,0.2856827491410273,0.004898845895324281,0.2916853323927109,0.003125887892757379,10111810.0,0.0,9.333333333333334,4.041451884327381
CBraMod,seedv,interaction_aligned,patch,3,"42,1024,3407",0.2950850545967181,0.003691399775676855,0.11689025312834607,0.005890629407138656,0.29296512393119734,0.008034945867469749,0.2985272174514308,0.008470275292738985,10111810.0,0.0,14.333333333333334,10.066445913694333
CBraMod,seedv,lora,none,3,"42,1024,3407",0.38382402248274333,0.002691375279862822,0.23313214802600246,0.0023792364394638115,0.3844678762293119,0.001530516770126901,0.39252183526330375,0.0009678434292905197,10158805.0,0.0,18.0,2.6457513110645907
CBraMod,seedv,native_full_finetune,channel,3,"42,1024,3407",0.39531705507625203,0.009184235436504717,0.25073212092908714,0.011598020240523596,0.3946558863988561,0.010179104058027032,0.4049225131838106,0.009922849670620912,14995610.0,0.0,17.0,12.529964086141668
CBraMod,seedv,upper_k_finetune,none,3,"42,1024,3407",0.38980943067281726,0.0013654162633616306,0.23930199265812183,0.0030123153217981274,0.388125708439776,0.005625665954303325,0.3958007624869469,0.006003246333041148,10887205.0,0.0,13.333333333333334,4.041451884327381
CBraMod,tuev,axis_blind,generic_token_control,3,"42,1024,3407",0.4580029030210152,0.008257908403111486,0.45816060644000794,0.01021884382078236,0.4763153481582425,0.005216983948962324,0.7219390734921683,0.005575784715930349,16262355.0,0.0,7.0,5.291502622129181
CBraMod,tuev,frozen_probe,none,3,"42,1024,3407",0.46561404893572755,0.031470478301840354,0.46994569818618237,0.019544956610769697,0.4812952465325982,0.01922408829376042,0.7278635588450506,0.009579839992160895,16202406.0,0.0,8.333333333333334,3.511884584284246
CBraMod,tuev,full_finetune,none,3,"42,1024,3407",0.6201429709506181,0.02412772036961268,0.642443629537175,0.023124390319561376,0.5654569620516641,0.036948438464579965,0.8139259633125607,0.010247571345016934,21086206.0,0.0,7.333333333333333,4.041451884327381
CBraMod,tuev,generic_bottleneck,none,3,"42,1024,3407",0.46115588167714094,0.012404553179112605,0.4412343831601839,0.00765989098288895,0.4741010992635412,0.007005826797361902,0.7121146250952176,0.004621837368261016,16228671.0,0.0,9.0,4.0
CBraMod,tuev,interaction_aligned,channel,3,"42,1024,3407",0.4558947332067463,0.002236673629417967,0.4643181932089294,0.014412599310909564,0.4798212360948523,0.006322034918641614,0.7258355841981697,0.007489606659204431,16232211.0,0.0,8.333333333333334,5.507570547286102
CBraMod,tuev,interaction_aligned,channel_patch,3,"42,1024,3407",0.45479370073544895,0.022266852499489623,0.4496754007901505,0.02122007128994521,0.4719625411943071,0.021564314992547788,0.7173977231830272,0.011227121066351568,16262016.0,0.0,7.0,5.291502622129181
CBraMod,tuev,interaction_aligned,patch,3,"42,1024,3407",0.4552915653467641,0.006836730901628254,0.444335528304772,0.0029274683817452295,0.47215689980050884,0.00841926620828908,0.714501800732353,0.002244347415931459,16232211.0,0.0,10.0,2.6457513110645907
CBraMod,tuev,lora,none,3,"42,1024,3407",0.5550461369354313,0.008971664192907965,0.5447166633296382,0.012303935679354302,0.5265787591324821,0.005516750982476908,0.7641399334397798,0.005946013783720996,16279206.0,0.0,6.666666666666667,4.725815626252609
CBraMod,tuev,native_full_finetune,channel,3,"42,1024,3407",0.6233558397894622,0.021609123878427006,0.6361631777209458,0.04642995796047334,0.5954235845549583,0.04933783584197258,0.811892910030076,0.022315112660228998,21116011.0,0.0,4.666666666666667,3.7859388972001824
CBraMod,tuev,native_full_finetune,channel_patch,3,"42,1024,3407",0.632892204480388,0.014842471252386349,0.6183519330701884,0.03834306941919993,0.5903765341592462,0.05724669829575713,0.7999044918217599,0.01831185351416457,21145816.0,0.0,6.0,6.082762530298219
CBraMod,tuev,native_full_finetune,patch,3,"42,1024,3407",0.6393128789582927,0.011766347440031596,0.6364301982228983,0.02718878558515865,0.6118134567507272,0.030963546639451917,0.8119844242315238,0.015238605630167138,21116011.0,0.0,3.6666666666666665,0.5773502691896257
