comparison,backbone,dataset,axis,metric,n,seeds,effect_mean,effect_sd,positive_seeds,effect_min,effect_max,scope_note,pair_validity,pair_invalid_reason,parameter_match_pct_mean
aligned_vs_frozen_probe,CBraMod,seedv,channel,macro_f1,3,"42,1024,3407",-0.0074018947078685615,0.004200758486373381,0,-0.01192121104382804,-0.00361639029845906,within-subject protocol; patch axis is singleton/degenerate,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,seedv,channel,weighted_f1,3,"42,1024,3407",-0.006824162648099152,0.002129441688944109,0,-0.009141727216314288,-0.004953908115250649,within-subject protocol; patch axis is singleton/degenerate,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,seedv,patch,balanced_accuracy,3,"42,1024,3407",-0.003600220223219005,0.003844257708010336,0,-0.007994747992093265,-0.0008603592580289088,within-subject protocol; patch axis is singleton/degenerate,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,seedv,patch,cohen_kappa,3,"42,1024,3407",-0.004038447446146194,0.005575992540958718,1,-0.010281637389007448,0.00044646235313761107,within-subject protocol; patch axis is singleton/degenerate,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,seedv,patch,macro_f1,3,"42,1024,3407",-0.00011951991769852215,0.01242911793392354,2,-0.013439353667185128,0.011168516907943626,within-subject protocol; patch axis is singleton/degenerate,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,seedv,patch,weighted_f1,3,"42,1024,3407",1.7722410620720403e-05,0.010996499909620146,2,-0.01222557396293128,0.009054723182299995,within-subject protocol; patch axis is singleton/degenerate,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,tuev,channel,balanced_accuracy,3,"42,1024,3407",-0.009719315728981251,0.03370548506206935,1,-0.04503223935602141,0.022107812686802175,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,tuev,channel,cohen_kappa,3,"42,1024,3407",-0.005627504977252951,0.027350357759010492,1,-0.02313062400199395,0.025889657708549563,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,tuev,channel,macro_f1,3,"42,1024,3407",-0.0014740104377459022,0.02321303807824431,1,-0.020186912907951382,0.02450217598409954,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,tuev,channel,weighted_f1,3,"42,1024,3407",-0.00202797464688087,0.013550875376145953,1,-0.010099003042862709,0.013616592007416717,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,tuev,channel_patch,balanced_accuracy,3,"42,1024,3407",-0.010820348200278588,0.051055805951209544,1,-0.05605020229508684,0.04454195347852663,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,tuev,channel_patch,cohen_kappa,3,"42,1024,3407",-0.02027029739603185,0.0366927010727405,1,-0.04162743483543452,0.022098314275823094,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,tuev,channel_patch,macro_f1,3,"42,1024,3407",-0.009332705338291114,0.0405711382277414,1,-0.036419147377380445,0.037312792798421646,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,tuev,channel_patch,weighted_f1,3,"42,1024,3407",-0.01046583566202334,0.01829471012189294,1,-0.021123816358891156,0.010658787122086788,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,tuev,patch,balanced_accuracy,3,"42,1024,3407",-0.010322483588963446,0.031349602371448175,2,-0.04570224958104152,0.014000776194749875,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,tuev,patch,cohen_kappa,3,"42,1024,3407",-0.025610169881410332,0.02056902561999442,0,-0.047059248490948336,-0.00605174213171622,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,tuev,patch,macro_f1,3,"42,1024,3407",-0.009138346732089334,0.012502290195177174,1,-0.020159179738369393,0.0044475381791487245,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,tuev,patch,weighted_f1,3,"42,1024,3407",-0.0133617581126975,0.00995896223028667,0,-0.024433112315893624,-0.005133542100553279,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,LaBraM,FACED,patch,balanced_accuracy,3,"42,1024,3407",0.02737520128824474,0.006906660886987537,3,0.02106816961889424,0.03475577026301663,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,LaBraM,FACED,patch,cohen_kappa,3,"42,1024,3407",0.02906186875641137,0.007152117997821736,3,0.022408492106690048,0.03662556383397764,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
